sample,type,files_valid,files_found,nEvents_total,sumGenW_Events,sumGenW_Runs,sumGenW2_Runs,genEventCount_Runs,skim_attrition_rel,n_id_LF,n_id_cc,n_id_b51,n_id_b52,n_id_2b53,n_id_bb54,n_id_4b55,n_id_lt0,n_id_other,xsec_used,eff_yield
BTagCSV_B,Data,3,3,1808836,1808836.0,0.0,0.0,0,,0,0,0,0,0,0,0,0,0,1.0,0.0
BTagCSV_C,Data,27,27,34491540,34491540.0,0.0,0.0,0,,0,0,0,0,0,0,0,0,0,1.0,0.0
BTagCSV_D,Data,8,8,7967055,7967055.0,0.0,0.0,0,,0,0,0,0,0,0,0,0,0,1.0,0.0
BTagCSV_E,Data,12,12,17175226,17175226.0,0.0,0.0,0,,0,0,0,0,0,0,0,0,0,1.0,0.0
BTagCSV_F,Data,78,78,75677461,75677461.0,0.0,0.0,0,,0,0,0,0,0,0,0,0,0,1.0,0.0
JetHT_B,Data,33,33,63043590,63043590.0,0.0,0.0,0,,0,0,0,0,0,0,0,0,0,1.0,0.0
JetHT_C,Data,66,66,96264601,96264601.0,0.0,0.0,0,,0,0,0,0,0,0,0,0,0,1.0,0.0
JetHT_D,Data,37,37,46145204,46145204.0,0.0,0.0,0,,0,0,0,0,0,0,0,0,0,1.0,0.0
JetHT_E,Data,58,58,89630771,89630771.0,0.0,0.0,0,,0,0,0,0,0,0,0,0,0,1.0,0.0
JetHT_F,Data,66,66,115429972,115429972.0,0.0,0.0,0,,0,0,0,0,0,0,0,0,0,1.0,0.0
QCD_HT1000to1500,MC,43,43,14164109,14164109.0,14164109.0,14164109.0,14164109,0.0,8778352,3563372,556071,659653,543674,49898,13089,0,0,3.285809278488159,46540560.77371764
QCD_HT1500to2000,MC,46,46,12402197,12402197.0,12402197.0,12402197.0,12402197,0.0,7422232,3288829,449160,689620,482472,53168,16716,0,0,0.3658958077430725,4537911.889103711
QCD_HT2000toInf,MC,31,31,5614050,5614050.0,5614050.0,5614050.0,5614050,0.0,3292434,1534263,183868,352878,213941,26797,9869,0,0,0.1606282740831375,901775.1621164382
QCD_HT200to300,MC,77,77,60056309,60056309.0,60056309.0,60056309.0,60056309,0.0,45974991,9547064,2608223,694480,1194635,33862,3054,0,0,1071.943359375,64376961621.12305
QCD_HT300to500,MC,66,66,54770756,54770756.0,54770756.0,54770756.0,54770756,0.0,39483934,10270118,2424670,1041737,1481035,61581,7681,0,0,243.18138122558594,13319228094.849548
QCD_HT500to700,MC,74,74,60395873,60395873.0,60395873.0,60395873.0,60395873,0.0,40797642,13067738,2616082,1764616,2010136,118832,20827,0,0,20.7757568359375,1254769971.342163
QCD_HT700to1000,MC,85,85,47501834,47501834.0,47501834.0,47501834.0,47501834,0.0,30695729,11153101,1982880,1781693,1731352,129155,27924,0,0,5.5869221687316895,265389049.4300127
SingleMuon_B,Data,79,79,136300266,136300266.0,0.0,0.0,0,,0,0,0,0,0,0,0,0,0,1.0,0.0
SingleMuon_C,Data,117,117,165652756,165652756.0,0.0,0.0,0,,0,0,0,0,0,0,0,0,0,1.0,0.0
SingleMuon_D,Data,47,47,70361660,70361660.0,0.0,0.0,0,,0,0,0,0,0,0,0,0,0,1.0,0.0
SingleMuon_E,Data,78,78,154618774,154618774.0,0.0,0.0,0,,0,0,0,0,0,0,0,0,0,1.0,0.0
SingleMuon_F,Data,115,115,242140980,242140980.0,0.0,0.0,0,,0,0,0,0,0,0,0,0,0,1.0,0.0
TTTo2L2Nu,MC,99,99,106724000,7695841652.167358,7695841311.017002,564040910230.1125,106724000,4.432918280219083e-08,97661457,6877886,1417426,384588,369834,11464,1345,0,0,0.0004761561576742679,3664422.2287247563
TTToHadronic,MC,199,199,232999999,73140766669.42169,73140765879.47006,23335119793197.258,232999999,1.0800428736833941e-08,206860997,20445685,3634101,1058032,964490,32795,3899,0,0,0.00021435121016111225,15677811.678374995
TTToSemiLeptonic,MC,297,297,346052000,104129959629.04999,104129959042.42809,31845807708704.688,346052000,5.6335554902772926e-09,311921759,26367647,4997343,1407735,1309986,42566,4964,0,0,0.00014557933900505304,15159170.608019928
tt4b,MC,14,14,9502000,9502000.0,9502000.0,9502000.0,9502000,0.0,902285,82391,2461302,690983,3944597,1311174,109268,0,0,0.0012921574525535107,12278.080114163458
ttHH,MC,32,32,9934000,9934000.0,9934000.0,9934000.0,9934000,0.0,16911,1634,241267,44799,8532151,1066737,30501,0,0,1.097637778002536e-06,10.903933686677192
ttHtobb,MC,46,46,7825000,3919780.8296052217,3919780.948356,2048088.9451112994,7825000,-3.029525873803847e-08,296416,31929,2573279,43725,4806866,71377,1408,0,0,0.0031253015622496605,12250.497521573461
ttWH,MC,11,11,360000,360000.0,360000.0,360000.0,360000,0.0,126262,27764,70922,3067,130248,1699,38,0,0,0.00013169899466447532,47.411638079211116
ttWW,MC,9,9,698000,698000.0,698000.0,698000.0,698000,0.0,606317,72074,11743,4137,3551,155,23,0,0,0.00041551311733201146,290.028155897744
ttWZ,MC,2,2,350000,350000.0,350000.0,350000.0,350000,0.0,231494,62924,23284,2913,28977,383,25,0,0,0.0002901229599956423,101.5430359984748
ttZHto4b,MC,7,7,5000000,5000000.0,5000000.0,5000000.0,5000000,0.0,11829,970,153703,28305,4192704,594226,18263,0,0,1.1124736829515314e-06,5.562368414757657
ttZZto4b,MC,33,33,4832000,4832000.0,4832000.0,4832000.0,4832000,0.0,23064,1776,228660,38101,3951826,568386,20187,0,0,3.8243666722337366e-07,1.8479339760233415
ttZtobb,MC,26,26,7074000,794582.7077516913,794582.7253137003,351656.8517915489,7074000,-2.2102178123208137e-08,377572,37296,2451815,145125,4004088,55830,2274,0,0,0.006587820593267679,5234.56844087635
ttbb_2L2Nu,MC,7,7,3472503,15930890.41240549,15930889.901690006,93982090.87864615,3472503,3.2058189327198986e-08,1661972,107774,1043690,336067,306805,14311,1884,0,0,1.0,15930889.901690006
ttbb_Hadronic,MC,9,9,5694656,113736165.6780777,113736166.15320005,2920635425.649364,5694656,-4.177407798625102e-09,2545506,237091,1774721,551435,553427,28837,3639,0,0,0.00024063313321676105,27368.690021506656
ttbb_SemiLeptonic,MC,12,12,7318891,153797755.7116127,153797754.09350008,4550384136.754364,7318891,1.0521041956879557e-08,3381121,267336,2245047,709437,678015,33613,4322,0,0,1.0,153797754.09350008
tttW,MC,5,5,360000,360000.0,360000.0,360000.0,360000,0.0,60841,7396,217180,2395,69847,2316,25,0,0,8.453854388790205e-05,30.43387579964474
