OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
shape,iterativefit,central,4,0.0,2.5,20.0,10000.0,-15.0,1.1,1.0
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,-15.0,0.0,1.281387947208068
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.0,0.066599580862017,1.281387947208068
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.066599580862017,0.2096583294052101,17.021319611187593*(x-0.06659958086201709)*(x-0.06659958086201709)*(x-0.06659958086201709)-7.305146046390621*(x-0.06659958086201709)*(x-0.06659958086201709)+1.0450650513218969*(x-0.06659958086201709)+1.281387947208068
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.2096583294052101,0.2803507729481821,553.2168716292537*(x-0.20965832940521018)*(x-0.20965832940521018)*(x-0.20965832940521018)-68.43131081005524*(x-0.20965832940521018)*(x-0.20965832940521018)+0.0*(x-0.20965832940521018)+1.331223180004181
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.2803507729481821,0.3602312067912084,104.800106571351*(x-0.28035077294818217)*(x-0.28035077294818217)*(x-0.28035077294818217)-3.9119248917407563*(x-0.28035077294818217)*(x-0.28035077294818217)-1.3811793637537337*(x-0.28035077294818217)+1.1846834956110581
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.3602312067912084,0.450189178139259,-18.64659208759779*(x-0.36023120679120846)*(x-0.36023120679120846)*(x-0.36023120679120846)+2.516114395132363*(x-0.36023120679120846)*(x-0.36023120679120846)+0.0*(x-0.36023120679120846)+1.1028101784765463
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.450189178139259,0.5506295967015832,366.58621262704725*(x-0.450189178139259)*(x-0.450189178139259)*(x-0.450189178139259)-55.23010895315667*(x-0.450189178139259)*(x-0.450189178139259)+0.0*(x-0.450189178139259)+1.1095973438911275
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.5506295967015832,0.6513117857397415,-22.97706135000421*(x-0.5506295967015832)*(x-0.5506295967015832)*(x-0.5506295967015832)+3.470071251573726*(x-0.5506295967015832)*(x-0.5506295967015832)+0.0*(x-0.5506295967015832)+0.9238717854011472
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.6513117857397415,0.7519753734103348,26.918188772236466*(x-0.6513117857397415)*(x-0.6513117857397415)*(x-0.6513117857397415)-4.470795012949568*(x-0.6513117857397415)*(x-0.6513117857397415)+0.0*(x-0.6513117857397415)+0.9355970441804551
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.7519753734103348,0.8523561003932966,-7.329669819801191*(x-0.7519753734103348)*(x-0.7519753734103348)*(x-0.7519753734103348)+1.0208300223507543*(x-0.7519753734103348)*(x-0.7519753734103348)-0.08179376124918684*(x-0.7519753734103348)+0.9177514024524921
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.8523561003932966,0.9707762693228696,26.85368157373272*(x-0.8523561003932966)*(x-0.8523561003932966)*(x-0.8523561003932966)-10.562219300340603*(x-0.8523561003932966)*(x-0.8523561003932966)-0.09841808552364815*(x-0.8523561003932966)+0.9124133578844787
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.9707762693228696,1.1,0.7972355724004513
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,-15.0,0.0,1.3333394298374364
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.0,0.0728158401427542,1.3333394298374364
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.0728158401427542,0.2295713384061966,-0.3961423386717767*(x-0.07281584014275425)*(x-0.07281584014275425)*(x-0.07281584014275425)+2.0124046721909497*(x-0.07281584014275425)*(x-0.07281584014275425)-1.5376142114023241*(x-0.07281584014275425)+1.3333394298374364
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.2295713384061966,0.2998960530018505,10.076149397903034*(x-0.2295713384061966)*(x-0.2295713384061966)*(x-0.2295713384061966)+1.3801216658241922*(x-0.2295713384061966)*(x-0.2295713384061966)-0.935905586016291*(x-0.2295713384061966)+1.140233454328507
